k1 = 4, k2 = 7, k3 = 9, a11 = 5, a12 = 0, a13 = 5, a21 = -2, a22 = 2, a23 = 4, a31 = -2, a32 = 5, a33 = 1, b12 = 16, b13 = 0, b23 = 0
k1 = 4, k2 = 7, k3 = 9, a11 = 5, a12 = 0, a13 = 5, a21 = -2, a22 = 2, a23 = 4, a31 = -2, a32 = 5, a33 = 1, b12 = 0, b13 = 64, b23 = 0
k1 = 4, k2 = 7, k3 = 9, a11 = 5, a12 = 0, a13 = 5, a21 = -2, a22 = 2, a23 = 4, a31 = -2, a32 = 5, a33 = 1, b12 = 0, b13 = 0, b23 = 128
k1 = 5, k2 = 8, k3 = 10, a11 = -4, a12 = 2, a13 = 1, a21 = 5, a22 = 2, a23 = 4, a31 = -5, a32 = 0, a33 = -5, b12 = 32, b13 = 0, b23 = 0
k1 = 5, k2 = 8, k3 = 10, a11 = -4, a12 = 2, a13 = 1, a21 = 5, a22 = 2, a23 = 4, a31 = -5, a32 = 0, a33 = -5, b12 = 0, b13 = 128, b23 = 0
k1 = 5, k2 = 8, k3 = 10, a11 = -4, a12 = 2, a13 = 1, a21 = 5, a22 = 2, a23 = 4, a31 = -5, a32 = 0, a33 = -5, b12 = 0, b13 = 0, b23 = 256
k1 = 3, k2 = 8, k3 = 10, a11 = 5, a12 = -4, a13 = 3, a21 = -1, a22 = 4, a23 = 0, a31 = -4, a32 = -5, a33 = 3, b12 = 8, b13 = 0, b23 = 0
k1 = 3, k2 = 8, k3 = 10, a11 = 5, a12 = -4, a13 = 3, a21 = -1, a22 = 4, a23 = 0, a31 = -4, a32 = -5, a33 = 3, b12 = 0, b13 = 32, b23 = 0
k1 = 3, k2 = 8, k3 = 10, a11 = 5, a12 = -4, a13 = 3, a21 = -1, a22 = 4, a23 = 0, a31 = -4, a32 = -5, a33 = 3, b12 = 0, b13 = 0, b23 = 256
k1 = 6, k2 = 8, k3 = 10, a11 = -5, a12 = 2, a13 = -3, a21 = 1, a22 = -4, a23 = 0, a31 = -3, a32 = -1, a33 = 0, b12 = 64, b13 = 0, b23 = 0
k1 = 6, k2 = 8, k3 = 10, a11 = -5, a12 = 2, a13 = -3, a21 = 1, a22 = -4, a23 = 0, a31 = -3, a32 = -1, a33 = 0, b12 = 0, b13 = 256, b23 = 0
k1 = 6, k2 = 8, k3 = 10, a11 = -5, a12 = 2, a13 = -3, a21 = 1, a22 = -4, a23 = 0, a31 = -3, a32 = -1, a33 = 0, b12 = 0, b13 = 0, b23 = 256
k1 = 3, k2 = 7, k3 = 9, a11 = -5, a12 = -2, a13 = 0, a21 = 1, a22 = 5, a23 = 1, a31 = 3, a32 = 3, a33 = 4, b12 = 8, b13 = 0, b23 = 0
k1 = 3, k2 = 7, k3 = 9, a11 = -5, a12 = -2, a13 = 0, a21 = 1, a22 = 5, a23 = 1, a31 = 3, a32 = 3, a33 = 4, b12 = 0, b13 = 32, b23 = 0
k1 = 3, k2 = 7, k3 = 9, a11 = -5, a12 = -2, a13 = 0, a21 = 1, a22 = 5, a23 = 1, a31 = 3, a32 = 3, a33 = 4, b12 = 0, b13 = 0, b23 = 128
k1 = 4, k2 = 7, k3 = 10, a11 = 5, a12 = 3, a13 = 2, a21 = -2, a22 = -1, a23 = -1, a31 = 3, a32 = 5, a33 = -2, b12 = 16, b13 = 0, b23 = 0
k1 = 4, k2 = 7, k3 = 10, a11 = 5, a12 = 3, a13 = 2, a21 = -2, a22 = -1, a23 = -1, a31 = 3, a32 = 5, a33 = -2, b12 = 0, b13 = 128, b23 = 0
k1 = 4, k2 = 7, k3 = 10, a11 = 5, a12 = 3, a13 = 2, a21 = -2, a22 = -1, a23 = -1, a31 = 3, a32 = 5, a33 = -2, b12 = 0, b13 = 0, b23 = 128
k1 = 4, k2 = 8, k3 = 10, a11 = 5, a12 = -1, a13 = -2, a21 = 1, a22 = -1, a23 = -5, a31 = 2, a32 = -1, a33 = 4, b12 = 16, b13 = 0, b23 = 0
k1 = 4, k2 = 8, k3 = 10, a11 = 5, a12 = -1, a13 = -2, a21 = 1, a22 = -1, a23 = -5, a31 = 2, a32 = -1, a33 = 4, b12 = 0, b13 = 64, b23 = 0
k1 = 4, k2 = 8, k3 = 10, a11 = 5, a12 = -1, a13 = -2, a21 = 1, a22 = -1, a23 = -5, a31 = 2, a32 = -1, a33 = 4, b12 = 0, b13 = 0, b23 = 256
k1 = 6, k2 = 8, k3 = 10, a11 = 0, a12 = 0, a13 = 4, a21 = -1, a22 = -1, a23 = 3, a31 = 1, a32 = 1, a33 = 0, b12 = 64, b13 = 0, b23 = 0
k1 = 6, k2 = 8, k3 = 10, a11 = 0, a12 = 0, a13 = 4, a21 = -1, a22 = -1, a23 = 3, a31 = 1, a32 = 1, a33 = 0, b12 = 0, b13 = 256, b23 = 0
k1 = 6, k2 = 8, k3 = 10, a11 = 0, a12 = 0, a13 = 4, a21 = -1, a22 = -1, a23 = 3, a31 = 1, a32 = 1, a33 = 0, b12 = 0, b13 = 0, b23 = 256
k1 = 4, k2 = 6, k3 = 8, a11 = -2, a12 = -4, a13 = -5, a21 = -3, a22 = -5, a23 = 3, a31 = -2, a32 = -4, a33 = -3, b12 = 16, b13 = 0, b23 = 0
k1 = 4, k2 = 6, k3 = 8, a11 = -2, a12 = -4, a13 = -5, a21 = -3, a22 = -5, a23 = 3, a31 = -2, a32 = -4, a33 = -3, b12 = 0, b13 = 64, b23 = 0
k1 = 4, k2 = 6, k3 = 8, a11 = -2, a12 = -4, a13 = -5, a21 = -3, a22 = -5, a23 = 3, a31 = -2, a32 = -4, a33 = -3, b12 = 0, b13 = 0, b23 = 64
k1 = 5, k2 = 7, k3 = 9, a11 = 5, a12 = 1, a13 = -4, a21 = -3, a22 = -3, a23 = -5, a31 = 1, a32 = 0, a33 = -4, b12 = 32, b13 = 0, b23 = 0
k1 = 5, k2 = 7, k3 = 9, a11 = 5, a12 = 1, a13 = -4, a21 = -3, a22 = -3, a23 = -5, a31 = 1, a32 = 0, a33 = -4, b12 = 0, b13 = 128, b23 = 0
k1 = 5, k2 = 7, k3 = 9, a11 = 5, a12 = 1, a13 = -4, a21 = -3, a22 = -3, a23 = -5, a31 = 1, a32 = 0, a33 = -4, b12 = 0, b13 = 0, b23 = 128
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 1, a13 = 5, a21 = -2, a22 = -5, a23 = -2, a31 = -5, a32 = 2, a33 = 0, b12 = 2, b13 = 0, b23 = 0
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 1, a13 = 5, a21 = -2, a22 = -5, a23 = -2, a31 = -5, a32 = 2, a33 = 0, b12 = 0, b13 = 8, b23 = 0
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 1, a13 = 5, a21 = -2, a22 = -5, a23 = -2, a31 = -5, a32 = 2, a33 = 0, b12 = 0, b13 = 0, b23 = 4
k1 = 3, k2 = 6, k3 = 10, a11 = -1, a12 = -5, a13 = 2, a21 = -4, a22 = -2, a23 = -3, a31 = -1, a32 = -2, a33 = 5, b12 = 8, b13 = 0, b23 = 0
k1 = 3, k2 = 6, k3 = 10, a11 = -1, a12 = -5, a13 = 2, a21 = -4, a22 = -2, a23 = -3, a31 = -1, a32 = -2, a33 = 5, b12 = 0, b13 = 128, b23 = 0
k1 = 3, k2 = 6, k3 = 10, a11 = -1, a12 = -5, a13 = 2, a21 = -4, a22 = -2, a23 = -3, a31 = -1, a32 = -2, a33 = 5, b12 = 0, b13 = 0, b23 = 64
