k1 = 1, k2 = 3, k3 = 5, a11 = 0, a12 = 1, a13 = 0, a21 = 0, a22 = -6, a23 = -4, a31 = -3, a32 = -1, a33 = -2, b12 = -1, b13 = -16, b23 = -4
k1 = 2, k2 = 4, k3 = 8, a11 = 1, a12 = 1, a13 = -2, a21 = -2, a22 = 2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = 1, a12 = 1, a13 = -2, a21 = -2, a22 = -2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = 1, a12 = 1, a13 = -2, a21 = 0, a22 = -4, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = -1, a12 = 1, a13 = -2, a21 = 0, a22 = -4, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = -3, a12 = 1, a13 = -2, a21 = 0, a22 = -2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = 3, a12 = 1, a13 = -2, a21 = 0, a22 = -2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = -3, a12 = 1, a13 = -2, a21 = 0, a22 = 2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = -1, a12 = 1, a13 = -2, a21 = 0, a22 = 4, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = 3, a12 = 1, a13 = -2, a21 = 0, a22 = 2, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
k1 = 2, k2 = 4, k3 = 8, a11 = 1, a12 = 1, a13 = -2, a21 = 0, a22 = 4, a23 = 0, a31 = 0, a32 = -8, a33 = 0, b12 = -2, b13 = 32, b23 = 1
