xyXyxYXY, yxyXyyXyxxyXyyXyxxyXyyXyxyXYxYX, yxyXyyXyxxyXyyXyxxyXyyyXyxY, XYxYYxYXXYxYYxYXY
YxxYX, yyXYxxYX, yyXYxxYYYxxYxYxxYY, YxxYxYxxYY
xxxxyxxYYxxyxxx, XXXYXXyyXXYXXXXXYXXyyXXYXXXXXXXYXXyyXXYXXXXXXXYXXyyXXYXXXX, XXXYXXyxxYxxyx, XYXXyyx
xyyxxyxxyy, YYXXYxyy, YYXXYxyyxy, xyyxYXXYxyyxy
xyXyxYxYxY, yXyXyXYxxYXyXyXYxyxYxYxY, yXyXyXYxxYXyXyXY, xyxYXyXyXYxxYXyXyXXyXyXYxxYXyXyXY
xyxyXXYXYxYXYXXXXYXYxYXYXXyxyxxyxyxxyxyx, XYXYXXYXYXXYXYXXYXYxYXYXXyxyxxyxyxxyxyx, XYXYXXYXYXXYXYXXYXYxxyxxYXYX, xyxyXXYXYxYXYX
xyXXyXyXyXyXyXyxYxYxYxYxYxYYxYxYxYxYxYxyxYxYxYxYxYxYYxYxYxYxYxYxyXyXyXyXyXX, xxYxYxYxYxYXyXyXyXyXyXyyXyXyXyXyXyXXyXyXyXyXyXXyXyXyXyXyXyxYxYxYxYxYxYYxYxYxYxYxYxyxYxYxYxYxYxYYxYxYxYxYxYxyXyXyXyXyXX, xxYxYxYxYxYXyXyXyXyXyXyyXyXyXyXyXyXXyXyXyXyXyXXyXyXyXyXyXyxYxYxYxYxYxYYxYxYxYxYxYxxYxYxYxYxYxxYxYxYxYxYxYYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYYxYxYxYxYxYxxYxYxYxYxYxxYxYxYxYxYxYYxYxYxYxYxYxyXyXyXyXyXX, xxYxYxYxYxYYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYxYYxYxYxYxYxYxxYxYxYxYxYxxYxYxYxYxYxYYxYxYxYxYxYxyXyXyXyXyXX
XYXXXYXXYYXXYXX, xxyxxyxyxxyxyxxyxxxyxxxyxxyyxxyxxxyx, xxyxxyxyxxyxYXXYXXXYXXYX, XYXXXYXXYX
xxyXXyXXyxyXXyX, xYxxYXYxxYxxYYYxyXXyxyXXyXXyxyXXyX, XyyyXXXyyyXXyXXyxyXXyXXyyyXX, xxYYYxxYxxYXYxxYxxYYYx
XXXyXXyXYxxxxYxx, XXyXXXXyxYxxx, XXyXXXXyXyXYxxxYxx, xYxx
yXYxYXy, XyXYxYXy, XyXYxxY, yXYXyxYx
YxYXXYxyyy, YYYXyxxyXyxxyxyxxyXyxxyxyxxyXyxxyXy, YYYXyxxyXyxxyxyxxyXyxxyX, xxyxyxxyXyxxyxyxxyXyxxyX
xyxYYYY, yyyXYxxYXY, yyyXYxxYXYxyxYYY, xyXXyxyXXXyxyXXyxYYY
xyXXyxYY, yyXXyXXyxYY, yyXXyXXyxYYxxYxxYYxYxYYxxYxxYY, xYxYYxxYxxYY
xYYYYxYYYYxYYYYxYYXyyyyyyyXYY, yyxYYYYYYYxYYxYYYYYYYxyyXyyyyXyyyyXyyyyX, yyxYYYYYYYxYYYYxYYYYxYYYYxYYYYxYYYYYYYYY, yyyyyyyXYY
xyXYYXyXYYXYXYXYYX, yXYYXYXYXYYX, yXYYXyxx, xyXYYXyxxyXYYXyxx
XYXYXyxxxxyXYXyx, XYxyxYXXXXYxyyx, XYxyxYXXXXYXXXYXXX, YXXX
xyxYY, yyXYxxxYXyXYxxxYX, yyXYxxxYXyXY, xxxxYXY
YxYXyxyXYXyxyXYXyxyX, xYXYxy, xYYYxyXXy, YxxYXyyX
xyXYYX, yxyxyXYYYX, yxyxyXYYXyxYXY, xyXYYXyxYXY
xyyXyyxYYXYYxyyXyyxxyyXyXyyxxyyXyXyyx, XYYxYxYYXXYYxYxYYXXYYxYYXyyxyyxyyXyXyyxxyyXyXyyx, XYYxYxYYXXYYxYxYYXXYYxYYXyyx, yyxyyXYXyyx
